date,cases,deaths
2020-01-26,1.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,1.0,0.0
2020-02-01,0.0,0.0
2020-02-02,3.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,1.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,1.0,0.0
2020-02-21,1.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,2.0,0.0
2020-02-25,0.0,0.0
2020-02-26,15.0,0.0
2020-02-27,0.0,0.0
2020-02-28,1.0,0.0
2020-02-29,1.0,0.0
2020-03-01,5.0,0.0
2020-03-02,5.0,0.0
2020-03-03,7.0,0.0
2020-03-04,10.0,1.0
2020-03-05,12.0,0.0
2020-03-06,14.0,0.0
2020-03-07,19.0,0.0
2020-03-08,12.0,0.0
2020-03-09,60.0,1.0
2020-03-10,7.0,1.0
2020-03-11,23.0,1.0
2020-03-12,50.0,0.0
2020-03-13,68.0,1.0
2020-03-14,61.0,0.0
2020-03-15,97.0,1.0
2020-03-16,110.0,5.0
2020-03-17,144.0,3.0
2020-03-18,161.0,3.0
2020-03-19,174.0,2.0
2020-03-20,216.0,5.0
2020-03-21,261.0,4.0
2020-03-22,307.0,7.0
2020-03-23,389.0,4.0
2020-03-24,404.0,13.0
2020-03-25,539.0,16.0
2020-03-26,877.0,15.0
2020-03-27,855.0,21.0
2020-03-28,651.0,18.0
2020-03-29,755.0,10.0
2020-03-30,1100.0,15.0
2020-03-31,1162.0,37.0
2020-04-01,1274.0,28.0
2020-04-02,1333.0,35.0
2020-04-03,1379.0,35.0
2020-04-04,1227.0,41.0
2020-04-05,1406.0,28.0
2020-04-06,1159.0,35.0
2020-04-07,1179.0,61.0
2020-04-08,1503.0,59.0
2020-04-09,1148.0,42.0
2020-04-10,1175.0,46.0
2020-04-11,1055.0,38.0
2020-04-12,902.0,44.0
2020-04-13,1011.0,49.0
2020-04-14,1424.0,53.0
2020-04-15,1349.0,107.0
2020-04-16,1035.0,86.0
2020-04-17,1256.0,79.0
2020-04-18,1431.0,96.0
2020-04-19,715.0,30.0
2020-04-20,2318.0,47.0
2020-04-21,1982.0,93.0
2020-04-22,1729.0,109.0
2020-04-23,1961.0,123.0
2020-04-24,1834.0,71.0
2020-04-25,1222.0,73.0
2020-04-26,1101.0,24.0
2020-04-27,1517.0,84.0
2020-04-28,1362.0,84.0
2020-04-29,2334.0,77.0
2020-04-30,1566.0,96.0
2020-05-01,1848.0,90.0
2020-05-02,1435.0,66.0
2020-05-03,1319.0,22.0
2020-05-04,1261.0,62.0
2020-05-05,2515.0,89.0
2020-05-06,1939.0,92.0
2020-05-07,1694.0,83.0
2020-05-08,2135.0,89.0
2020-05-09,2208.0,82.0
2020-05-10,1227.0,37.0
2020-05-11,1463.0,51.0
2020-05-12,1636.0,82.0
2020-05-13,2068.0,112.0
2020-05-14,1729.0,25.0
2020-05-15,2068.0,153.0
2020-05-16,1918.0,62.0
2020-05-17,1433.0,36.0
2020-05-18,1577.0,32.0
2020-05-19,2038.0,100.0
2020-05-20,2144.0,92.0
2020-05-21,2363.0,110.0
2020-05-22,2313.0,66.0
2020-05-23,2014.0,78.0
2020-05-24,1928.0,22.0
2020-05-25,2274.0,18.0
2020-05-26,2907.0,51.0
2020-05-27,1949.0,102.0
2020-05-28,2198.0,81.0
2020-05-29,2972.0,102.0
2020-05-30,3057.0,70.0
2020-05-31,3014.0,28.0
2020-06-01,2529.0,45.0
2020-06-02,2438.0,73.0
2020-06-03,2326.0,62.0
2020-06-04,2510.0,62.0
2020-06-05,3593.0,66.0
2020-06-06,2637.0,76.0
2020-06-07,2850.0,27.0
2020-06-08,2290.0,26.0
2020-06-09,2958.0,96.0
2020-06-10,2894.0,94.0
2020-06-11,3570.0,72.0
2020-06-12,3576.0,45.0
2020-06-13,3149.0,73.0
2020-06-14,2519.0,30.0
2020-06-15,2709.0,31.0
2020-06-16,3469.0,82.0
2020-06-17,4250.0,81.0
2020-06-18,3754.0,76.0
2020-06-19,3708.0,66.0
2020-06-20,4011.0,70.0
2020-06-21,3953.0,22.0
2020-06-22,5813.0,44.0
2020-06-23,6419.0,76.0
2020-06-24,4850.0,91.0
2020-06-25,5524.0,82.0
2020-06-26,5614.0,62.0
2020-06-27,4426.0,30.0
2020-06-28,5502.0,35.0
2020-06-29,7040.0,42.0
2020-06-30,8158.0,104.0
2020-07-01,7611.0,85.0
2020-07-02,8434.0,95.0
2020-07-03,8100.0,52.0
2020-07-04,8878.0,14.0
2020-07-05,6411.0,40.0
2020-07-06,6282.0,83.0
2020-07-07,9897.0,111.0
2020-07-08,8538.0,145.0
2020-07-09,7212.0,117.0
2020-07-10,7989.0,111.0
2020-07-11,8525.0,76.0
2020-07-12,7646.0,30.0
2020-07-13,8530.0,44.0
2020-07-14,10387.0,141.0
2020-07-15,8904.0,141.0
2020-07-16,9264.0,122.0
2020-07-17,10161.0,117.0
2020-07-18,8272.0,90.0
2020-07-19,8266.0,13.0
2020-07-20,8735.0,54.0
2020-07-21,10171.0,119.0
2020-07-22,12162.0,155.0
2020-07-23,10647.0,152.0
2020-07-24,9921.0,135.0
2020-07-25,10231.0,103.0
2020-07-26,6011.0,23.0
2020-07-27,7765.0,93.0
2020-07-28,7848.0,172.0
2020-07-29,11088.0,168.0
2020-07-30,8230.0,125.0
2020-07-31,8004.0,213.0
2020-08-01,7234.0,143.0
2020-08-02,6430.0,34.0
2020-08-03,6298.0,101.0
2020-08-04,5023.0,196.0
2020-08-05,5518.0,170.0
2020-08-06,8237.0,148.0
2020-08-07,7129.0,183.0
2020-08-08,8016.0,102.0
2020-08-09,7086.0,66.0
2020-08-10,11023.0,95.0
2020-08-11,11811.0,194.0
2020-08-12,9019.0,154.0
2020-08-13,8115.0,187.0
2020-08-14,10031.0,151.0
2020-08-15,8738.0,83.0
2020-08-16,6527.0,16.0
2020-08-17,6483.0,89.0
2020-08-18,5508.0,189.0
2020-08-19,6243.0,163.0
2020-08-20,6659.0,115.0
2020-08-21,6590.0,183.0
2020-08-22,5334.0,153.0
2020-08-23,4619.0,15.0
2020-08-24,6292.0,98.0
2020-08-25,6084.0,159.0
2020-08-26,5292.0,138.0
2020-08-27,5350.0,149.0
2020-08-28,5427.0,140.0
2020-08-29,4110.0,70.0
2020-08-30,4090.0,33.0
2020-08-31,5952.0,81.0
2020-09-01,4087.0,129.0
2020-09-02,5407.0,181.0
2020-09-03,5363.0,167.0
2020-09-04,5293.0,147.0
2020-09-05,4382.0,64.0
2020-09-06,3160.0,22.0
2020-09-07,2456.0,33.0
2020-09-08,3424.0,80.0
2020-09-09,3083.0,147.0
2020-09-10,3821.0,104.0
2020-09-11,4108.0,171.0
2020-09-12,3456.0,68.0
2020-09-13,2808.0,53.0
2020-09-14,3673.0,72.0
2020-09-15,2855.0,148.0
2020-09-16,3401.0,110.0
2020-09-17,3626.0,91.0
2020-09-18,4492.0,105.0
2020-09-19,3640.0,111.0
2020-09-20,3001.0,-5.0
2020-09-21,4140.0,51.0
2020-09-22,2860.0,140.0
2020-09-23,3273.0,104.0
2020-09-24,3321.0,76.0
2020-09-25,4062.0,144.0
2020-09-26,3481.0,55.0
2020-09-27,2484.0,20.0
2020-09-28,3098.0,33.0
2020-09-29,3143.0,150.0
2020-09-30,3186.0,107.0
2020-10-01,3181.0,91.0
2020-10-02,4058.0,85.0
2020-10-03,3130.0,48.0
2020-10-04,3141.0,28.0
2020-10-05,3085.0,29.0
2020-10-06,2602.0,72.0
2020-10-07,3410.0,107.0
2020-10-08,3652.0,67.0
2020-10-09,3844.0,77.0
2020-10-10,3074.0,66.0
2020-10-11,2774.0,13.0
2020-10-12,2883.0,13.0
2020-10-13,3655.0,56.0
2020-10-14,3480.0,102.0
2020-10-15,3286.0,87.0
2020-10-16,3721.0,62.0
2020-10-17,2156.0,39.0
2020-10-18,2137.0,39.0
2020-10-19,4271.0,8.0
2020-10-20,4428.0,80.0
2020-10-21,3060.0,122.0
2020-10-22,6271.0,77.0
2020-10-23,5901.0,50.0
2020-10-24,4319.0,29.0
2020-10-25,2700.0,13.0
2020-10-26,4355.0,40.0
2020-10-27,4928.0,80.0
2020-10-28,4053.0,63.0
2020-10-29,4213.0,26.0
2020-10-30,4933.0,60.0
2020-10-31,3422.0,34.0
2020-11-01,3635.0,10.0
2020-11-02,5258.0,29.0
2020-11-03,5242.0,51.0
2020-11-04,5241.0,67.0
2020-11-05,6260.0,48.0
2020-11-06,6713.0,73.0
2020-11-07,5204.0,25.0
2020-11-08,6043.0,11.0
2020-11-09,6754.0,60.0
2020-11-10,8743.0,38.0
2020-11-11,5157.0,36.0
2020-11-12,9689.0,32.0
2020-11-13,9865.0,77.0
2020-11-14,7964.0,36.0
2020-11-15,8965.0,11.0
2020-11-16,11379.0,39.0
2020-11-17,10736.0,56.0
2020-11-18,11421.0,107.0
2020-11-19,13157.0,88.0
2020-11-20,13727.0,94.0
2020-11-21,13443.0,60.0
2020-11-22,8808.0,17.0
2020-11-23,17694.0,42.0
2020-11-24,16659.0,107.0
2020-11-25,14144.0,107.0
2020-11-26,8988.0,43.0
2020-11-27,16934.0,75.0
2020-11-28,13207.0,32.0
2020-11-29,13218.0,19.0
2020-11-30,17696.0,58.0
2020-12-01,16675.0,118.0
2020-12-02,18174.0,113.0
2020-12-03,21846.0,146.0
2020-12-04,24252.0,205.0
2020-12-05,25006.0,85.0
2020-12-06,28795.0,61.0
2020-12-07,27227.0,115.0
2020-12-08,26265.0,186.0
2020-12-09,31782.0,228.0
2020-12-10,33839.0,170.0
2020-12-11,37124.0,218.0
