date,state,cases,deaths
2020-01-22,Washington,0.0,0.0
2020-01-23,Washington,0.0,0.0
2020-01-24,Illinois,0.0,0.0
2020-01-24,Washington,0.0,0.0
2020-01-25,California,0.0,0.0
2020-01-25,Illinois,0.0,0.0
2020-01-25,Washington,0.0,0.0
2020-01-26,Arizona,0.0,0.0
2020-01-26,California,1.0,0.0
2020-01-26,Illinois,-1.0,0.0
2020-01-26,Washington,0.0,0.0
2020-01-27,Arizona,0.0,0.0
2020-01-27,California,1.0,0.0
2020-01-27,Illinois,-1.0,0.0
2020-01-27,Washington,0.0,0.0
2020-01-28,Arizona,0.0,0.0
2020-01-28,California,1.0,0.0
2020-01-28,Illinois,-1.0,0.0
2020-01-28,Washington,0.0,0.0
2020-01-29,Arizona,0.0,0.0
2020-01-29,California,1.0,0.0
2020-01-29,Illinois,-1.0,0.0
2020-01-29,Washington,0.0,0.0
2020-01-30,Arizona,0.0,0.0
2020-01-30,California,1.0,0.0
2020-01-30,Illinois,0.0,0.0
2020-01-30,Washington,-1.0,0.0
2020-01-31,Arizona,0.0,0.0
2020-01-31,California,2.0,0.0
2020-01-31,Illinois,-1.0,0.0
2020-01-31,Washington,-1.0,0.0
2020-02-01,Arizona,0.0,0.0
2020-02-01,California,2.0,0.0
2020-02-01,Illinois,-1.0,0.0
2020-02-01,Massachusetts,-1.0,0.0
2020-02-01,Washington,0.0,0.0
2020-02-02,Arizona,0.0,0.0
2020-02-02,California,5.0,0.0
2020-02-02,Illinois,-4.0,0.0
2020-02-02,Massachusetts,-1.0,0.0
2020-02-02,Washington,0.0,0.0
2020-02-03,Arizona,0.0,0.0
2020-02-03,California,5.0,0.0
2020-02-03,Illinois,-4.0,0.0
2020-02-03,Massachusetts,-1.0,0.0
2020-02-03,Washington,0.0,0.0
2020-02-04,Arizona,0.0,0.0
2020-02-04,California,5.0,0.0
2020-02-04,Illinois,-4.0,0.0
2020-02-04,Massachusetts,-1.0,0.0
2020-02-04,Washington,0.0,0.0
2020-02-05,Arizona,0.0,0.0
2020-02-05,California,5.0,0.0
2020-02-05,Illinois,-4.0,0.0
2020-02-05,Massachusetts,-1.0,0.0
2020-02-05,Washington,0.0,0.0
2020-02-05,Wisconsin,0.0,0.0
2020-02-06,Arizona,0.0,0.0
2020-02-06,California,5.0,0.0
2020-02-06,Illinois,-4.0,0.0
2020-02-06,Massachusetts,-1.0,0.0
2020-02-06,Washington,0.0,0.0
2020-02-06,Wisconsin,0.0,0.0
2020-02-07,Arizona,0.0,0.0
2020-02-07,California,5.0,0.0
2020-02-07,Illinois,-4.0,0.0
2020-02-07,Massachusetts,-1.0,0.0
2020-02-07,Washington,0.0,0.0
2020-02-07,Wisconsin,0.0,0.0
2020-02-08,Arizona,0.0,0.0
2020-02-08,California,5.0,0.0
2020-02-08,Illinois,-4.0,0.0
2020-02-08,Massachusetts,-1.0,0.0
2020-02-08,Washington,0.0,0.0
2020-02-08,Wisconsin,0.0,0.0
2020-02-09,Arizona,0.0,0.0
2020-02-09,California,5.0,0.0
2020-02-09,Illinois,-4.0,0.0
2020-02-09,Massachusetts,-1.0,0.0
2020-02-09,Washington,0.0,0.0
2020-02-09,Wisconsin,0.0,0.0
2020-02-10,Arizona,0.0,0.0
2020-02-10,California,6.0,0.0
2020-02-10,Illinois,-5.0,0.0
2020-02-10,Massachusetts,-1.0,0.0
2020-02-10,Washington,0.0,0.0
2020-02-10,Wisconsin,0.0,0.0
2020-02-11,Arizona,0.0,0.0
2020-02-11,California,6.0,0.0
2020-02-11,Illinois,-5.0,0.0
2020-02-11,Massachusetts,-1.0,0.0
2020-02-11,Washington,0.0,0.0
2020-02-11,Wisconsin,0.0,0.0
2020-02-12,Arizona,0.0,0.0
2020-02-12,California,6.0,0.0
2020-02-12,Illinois,-5.0,0.0
2020-02-12,Massachusetts,-1.0,0.0
2020-02-12,Texas,0.0,0.0
2020-02-12,Washington,0.0,0.0
2020-02-12,Wisconsin,0.0,0.0
2020-02-13,Arizona,0.0,0.0
2020-02-13,California,6.0,0.0
2020-02-13,Illinois,-5.0,0.0
2020-02-13,Massachusetts,-1.0,0.0
2020-02-13,Texas,1.0,0.0
2020-02-13,Washington,-1.0,0.0
2020-02-13,Wisconsin,0.0,0.0
2020-02-14,Arizona,0.0,0.0
2020-02-14,California,6.0,0.0
2020-02-14,Illinois,-5.0,0.0
2020-02-14,Massachusetts,-1.0,0.0
2020-02-14,Texas,1.0,0.0
2020-02-14,Washington,-1.0,0.0
2020-02-14,Wisconsin,0.0,0.0
2020-02-15,Arizona,0.0,0.0
2020-02-15,California,6.0,0.0
2020-02-15,Illinois,-5.0,0.0
2020-02-15,Massachusetts,-1.0,0.0
2020-02-15,Texas,1.0,0.0
2020-02-15,Washington,-1.0,0.0
2020-02-15,Wisconsin,0.0,0.0
2020-02-16,Arizona,0.0,0.0
2020-02-16,California,6.0,0.0
2020-02-16,Illinois,-5.0,0.0
2020-02-16,Massachusetts,-1.0,0.0
2020-02-16,Texas,1.0,0.0
2020-02-16,Washington,-1.0,0.0
2020-02-16,Wisconsin,0.0,0.0
2020-02-17,Arizona,0.0,0.0
2020-02-17,California,6.0,0.0
2020-02-17,Illinois,-5.0,0.0
2020-02-17,Massachusetts,-1.0,0.0
2020-02-17,Nebraska,9.0,0.0
2020-02-17,Texas,-8.0,0.0
2020-02-17,Washington,-1.0,0.0
2020-02-17,Wisconsin,0.0,0.0
2020-02-18,Arizona,0.0,0.0
2020-02-18,California,6.0,0.0
2020-02-18,Illinois,-5.0,0.0
2020-02-18,Massachusetts,-1.0,0.0
2020-02-18,Nebraska,9.0,0.0
2020-02-18,Texas,-8.0,0.0
2020-02-18,Washington,-1.0,0.0
2020-02-18,Wisconsin,0.0,0.0
2020-02-19,Arizona,0.0,0.0
2020-02-19,California,6.0,0.0
2020-02-19,Illinois,-5.0,0.0
2020-02-19,Massachusetts,-1.0,0.0
2020-02-19,Nebraska,9.0,0.0
2020-02-19,Texas,-8.0,0.0
2020-02-19,Washington,-1.0,0.0
2020-02-19,Wisconsin,0.0,0.0
2020-02-20,Arizona,0.0,0.0
2020-02-20,California,7.0,0.0
2020-02-20,Illinois,-6.0,0.0
2020-02-20,Massachusetts,-1.0,0.0
2020-02-20,Nebraska,10.0,0.0
2020-02-20,Texas,-9.0,0.0
2020-02-20,Washington,-1.0,0.0
2020-02-20,Wisconsin,0.0,0.0
2020-02-21,Arizona,0.0,0.0
2020-02-21,California,8.0,0.0
2020-02-21,Illinois,-7.0,0.0
2020-02-21,Massachusetts,-1.0,0.0
2020-02-21,Nebraska,10.0,0.0
2020-02-21,Texas,-7.0,0.0
2020-02-21,Washington,-3.0,0.0
2020-02-21,Wisconsin,0.0,0.0
2020-02-22,Arizona,0.0,0.0
2020-02-22,California,8.0,0.0
2020-02-22,Illinois,-7.0,0.0
2020-02-22,Massachusetts,-1.0,0.0
2020-02-22,Nebraska,10.0,0.0
2020-02-22,Texas,-7.0,0.0
2020-02-22,Washington,-3.0,0.0
